critic,crit_org,crit_cn,movie,m_year,director,dir_dob,dir_pob,cob
Simon Abrams,Freelance film critic,US,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Simon Abrams,Freelance film critic,US,The Tree of Life,2011,Terrence Malick,1943-11-30,"Ottawa, Illinois, U.S.",U.S.
Simon Abrams,Freelance film critic,US,Yi Yi: A One and a Two,2000,Edward Yang,1947-11-06,"Shanghai, Republic of China",Republic of China
Simon Abrams,Freelance film critic,US,Goodbye to Language,2014,Jean-Luc Godard,1930-12-03,"Paris, France",France
Simon Abrams,Freelance film critic,US,The White Meadows,2009,Mohammad Rasoulof,1972-11-16,"Shiraz, Imperial State of Iran",Imperial State of Iran
Simon Abrams,Freelance film critic,US,Night Across the Street,2012,Raoul Ruiz,1941-07-25,"Puerto Montt, Chile",Chile
Simon Abrams,Freelance film critic,US,Certified Copy,2010,Abbas Kiarostami,1940-06-22,"Tehran, Imperial State of Iran",Imperial State of Iran
Simon Abrams,Freelance film critic,US,Sparrow,2008,Johnnie To,1955-04-22,British Hong Kong,British Hong Kong
Simon Abrams,Freelance film critic,US,Fados,2007,Carlos Saura,1932-01-04,"Huesca, Spain",Spain
Sam Adams,Freelance film critic,US,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Sam Adams,Freelance film critic,US,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France",France
Sam Adams,Freelance film critic,US,Syndromes and a Century,2006,Apichatpong Weerasethakul,,,
Sam Adams,Freelance film critic,US,Spirited Away,2001,Hayao Miyazaki,1941-01-05,"Tokyo City, Empire of Japan",Empire of Japan
Sam Adams,Freelance film critic,US,The Act of Killing,2012,Joshua Oppenheimer,1974-09-23,"Austin, Texas, U.S.",U.S.
Sam Adams,Freelance film critic,US,The Grand Budapest Hotel,2014,Wes Anderson,1969-05-01,"Houston, Texas, U.S.",U.S.
Sam Adams,Freelance film critic,US,The New World,2004,Terrence Malick,1943-11-30,"Ottawa, Illinois, U.S.",U.S.
Sam Adams,Freelance film critic,US,Certified Copy,2010,Abbas Kiarostami,1940-06-22,"Tehran, Imperial State of Iran",Imperial State of Iran
Sam Adams,Freelance film critic,US,The World,2004,Jia Zhangke,1970-05-24,"Fenyang, Shanxi, China",China
Sam Adams,Freelance film critic,US,Elephant,2003,Gus Van Sant,1952-07-24,,
Thelma Adams,Freelance film critic,US,Zero Dark Thirty,2012,Kathryn Bigelow,1951-11-27,"San Carlos, California, U.S.",U.S.
Thelma Adams,Freelance film critic,US,A History of Violence,2005,David Cronenberg,1943-03-15,"Toronto, Ontario, Canada",Canada
Thelma Adams,Freelance film critic,US,The Grand Budapest Hotel,2014,Wes Anderson,1969-05-01,"Houston, Texas, U.S.",U.S.
Thelma Adams,Freelance film critic,US,Stories We Tell,2012,Sarah Polley,1979-01-08,"Toronto, Ontario, Canada",Canada
