cob,properties.article,properties.headline,properties.color
Argentina,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Lucrecia Martel: 8 votes</p><p> Gaspar Noé: 4 votes</p><p> Damián Szifrón: 3 votes</p><p> Juan José Campanella: 3 votes</p><p> Mariano Llinás: 1 vote</p><p> Fabián Bielinsky: 1 vote</P></div>,6 directors,#35476E
Australia,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Jennifer Kent: 2 votes</p><p> David Michôd: 2 votes</p><p> Peter Weir: 1 vote</P></div>,3 directors,#35476E
Austria,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Jessica Hausner: 1 vote</P></div>,1 director,#35476E
Belgium,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Jean-Pierre and Luc Dardenne: 7 votes</p><p> Agnès Varda: 4 votes</p><p> Chantal Akerman: 3 votes</P></div>,3 directors,#35476E
Brazil,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Kleber Mendonça Filho: 1 vote</P></div>,1 director,#35476E
Canada,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Sarah Polley: 7 votes</p><p> David Cronenberg: 6 votes</p><p> Xavier Dolan: 3 votes</p><p> Mary Harron: 3 votes</p><p> Guy Maddin: 3 votes</p><p> James Cameron: 2 votes</p><p> Denis Villeneuve: 2 votes</p><p> Jason Reitman: 1 vote</p><p> Jean-Marc Vallée: 1 vote</P></div>,9 directors,#35476E
Chile,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Patricio Guzmán: 4 votes</p><p> Pablo Larraín: 4 votes</p><p> Raoul Ruiz: 3 votes</P></div>,3 directors,#35476E
China,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Wong Kar-wai: 51 votes</p><p> Jia Zhangke: 13 votes</p><p> Jiang Wen: 1 vote</p><p> Nanfu Wang: 1 vote</p><p>Edward Yang: 22 votes</p><p> Hou Hsiao-hsien: 10 votes</P></div>,6 directors,#35476E
Denmark,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Lars von Trier: 16 votes</p><p> Nicolas Winding Refn: 2 votes</p><p> Susanne Bier: 1 vote</p><p> Thomas Vinterberg: 1 vote</P></div>,4 directors,#35476E
Ecuador,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Mike Judge: 2 votes</P></div>,1 director,#35476E
Japan,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Hayao Miyazaki: 35 votes</P></div>,1 director,#35476E
United Kingdom,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Christopher Nolan: 28 votes</p><p> Jonathan Glazer: 11 votes</p><p> Terence Davies: 3 votes</p><p> Paul Greengrass: 3 votes</p><p> Stephen Frears: 3 votes</p><p> Alex Garland: 2 votes</p><p> Ridley Scott: 2 votes</p><p> Michael Winterbottom: 2 votes</p><p> Joe Cornish: 2 votes</p><p> Ken Loach: 1 vote</p><p> Sam Mendes: 1 vote</p><p> Shane Meadows: 1 vote</p><p> Stephen Daldry: 1 vote</p><p> Steven Knight: 1 vote</p><p> Tom Hooper: 1 vote</p><p> Tony Scott: 1 vote</p><p> Josephine Decker: 1 vote</p><p> Joanna Hogg: 1 vote</p><p> Edgar Wright: 1 vote</p><p> Duncan Jones: 1 vote</p><p> Adam Curtis: 1 vote</p><p> Amma Asante: 1 vote</p><p> Asif Kapadia: 1 vote</p><p>Tomm Moore: 1 vote</p><p>Lynne Ramsay: 5 votes</p><p> Peter Mullan: 1 vote</p><p>Terry George: 1 vote</p><p> Carol Morley: 1 vote</P></div>,28 directors,#35476E
Finland,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Aki Kaurismäki: 1 vote</p><p> Pirjo Honkasalo: 1 vote</P></div>,2 directors,#35476E
